,datasetName,title,website,topics,downloadKey,downloadStatus
0,INSDC Sequences,"Real-Time Integrative Mapping of the Phenology and Climatic Suitability for the Spotted Lanternfly, Lycorma delicatula",['https://doi.org/10.3390/insects16080790'],"['AGRICULTURE', 'INVASIVES']",0017919-241024112534372,SUCCEEDED
1,INSDC Sequences,"Real-Time Integrative Mapping of the Phenology and Climatic Suitability for the Spotted Lanternfly, Lycorma delicatula",['https://doi.org/10.3390/insects16080790'],"['AGRICULTURE', 'INVASIVES']",0023897-241107131044228,SUCCEEDED
2,INSDC Sequences,Prey Distribution Mapping to Support Conservation Planning,['https://doi.org/10.1111/ddi.70048'],['CONSERVATION'],0164889-220831081235567,SUCCEEDED
3,INSDC Sequences,Modelling vector and host distributions to inform potential disease risk: A case study of West Nile virus in the United Kingdom,['https://doi.org/10.1111/mve.12825'],['HUMAN_HEALTH'],0058724-240506114902167,SUCCEEDED
4,INSDC Sequences,Modelling vector and host distributions to inform potential disease risk: A case study of West Nile virus in the United Kingdom,['https://doi.org/10.1111/mve.12825'],['HUMAN_HEALTH'],0142663-220831081235567,SUCCEEDED
5,INSDC Sequences,Modelling vector and host distributions to inform potential disease risk: A case study of West Nile virus in the United Kingdom,['https://doi.org/10.1111/mve.12825'],['HUMAN_HEALTH'],0058766-240506114902167,SUCCEEDED
6,INSDC Sequences,Modelling vector and host distributions to inform potential disease risk: A case study of West Nile virus in the United Kingdom,['https://doi.org/10.1111/mve.12825'],['HUMAN_HEALTH'],0058653-240506114902167,SUCCEEDED
7,INSDC Sequences,Modelling vector and host distributions to inform potential disease risk: A case study of West Nile virus in the United Kingdom,['https://doi.org/10.1111/mve.12825'],['HUMAN_HEALTH'],0058725-240506114902167,SUCCEEDED
8,INSDC Sequences,Modelling vector and host distributions to inform potential disease risk: A case study of West Nile virus in the United Kingdom,['https://doi.org/10.1111/mve.12825'],['HUMAN_HEALTH'],0058642-240506114902167,SUCCEEDED
9,INSDC Sequences,Modelling vector and host distributions to inform potential disease risk: A case study of West Nile virus in the United Kingdom,['https://doi.org/10.1111/mve.12825'],['HUMAN_HEALTH'],0058644-240506114902167,SUCCEEDED
10,INSDC Sequences,YOLO-FCE: A feature and clustering enhanced object detection model for species classification,['https://doi.org/10.1016/j.patcog.2025.112218'],['TAXONOMY'],0014921-240202131308920,SUCCEEDED
11,INSDC Sequences,YOLO-FCE: A feature and clustering enhanced object detection model for species classification,['https://doi.org/10.1016/j.patcog.2025.112218'],['TAXONOMY'],0001480-240216155721649,SUCCEEDED
12,INSDC Sequences,YOLO-FCE: A feature and clustering enhanced object detection model for species classification,['https://doi.org/10.1016/j.patcog.2025.112218'],['TAXONOMY'],0001476-240216155721649,SUCCEEDED
13,INSDC Sequences,YOLO-FCE: A feature and clustering enhanced object detection model for species classification,['https://doi.org/10.1016/j.patcog.2025.112218'],['TAXONOMY'],0001501-240216155721649,SUCCEEDED
14,INSDC Sequences,YOLO-FCE: A feature and clustering enhanced object detection model for species classification,['https://doi.org/10.1016/j.patcog.2025.112218'],['TAXONOMY'],0027815-231002084531237,SUCCEEDED
15,INSDC Sequences,YOLO-FCE: A feature and clustering enhanced object detection model for species classification,['https://doi.org/10.1016/j.patcog.2025.112218'],['TAXONOMY'],0027617-231002084531237,SUCCEEDED
16,INSDC Sequences,YOLO-FCE: A feature and clustering enhanced object detection model for species classification,['https://doi.org/10.1016/j.patcog.2025.112218'],['TAXONOMY'],0027444-231002084531237,SUCCEEDED
17,INSDC Sequences,YOLO-FCE: A feature and clustering enhanced object detection model for species classification,['https://doi.org/10.1016/j.patcog.2025.112218'],['TAXONOMY'],0014973-240202131308920,SUCCEEDED
18,INSDC Sequences,YOLO-FCE: A feature and clustering enhanced object detection model for species classification,['https://doi.org/10.1016/j.patcog.2025.112218'],['TAXONOMY'],0015166-240202131308920,SUCCEEDED
19,INSDC Sequences,YOLO-FCE: A feature and clustering enhanced object detection model for species classification,['https://doi.org/10.1016/j.patcog.2025.112218'],['TAXONOMY'],0001489-240216155721649,SUCCEEDED
20,INSDC Sequences,YOLO-FCE: A feature and clustering enhanced object detection model for species classification,['https://doi.org/10.1016/j.patcog.2025.112218'],['TAXONOMY'],0015163-240202131308920,SUCCEEDED
